id,uuid,name,created_date,ip,hostname,identifier,honeypot
1,f200d428-d7ee-11e8-87a4-aaf530930853,do-de-c6-di,2018-10-25 00:43:09.731228,46.101.197.7,ude-Dionaea,,dionaea
2,4c244e62-d7ef-11e8-87a4-aaf530930853,do-sf-c6-di,2018-10-25 00:45:40.957511,178.128.65.171,cDionaea,,dionaea
3,b1d42fca-d7ef-11e8-87a4-aaf530930853,do-ny-u16-co,2018-10-25 00:48:31.567613,68.183.23.28,ucowrie,,cowrie
4,b85d484a-d7ef-11e8-87a4-aaf530930853,do-ny-u16-up,2018-10-25 00:48:42.523381,68.183.19.156,up0f,,p0f
5,c7f786e4-d7ef-11e8-87a4-aaf530930853,do-ny-u16-eh,2018-10-25 00:49:08.701216,68.183.19.89,ElasticHoney,,elastichoney
6,d4b8df54-d7ef-11e8-87a4-aaf530930853,do-sf-u16-cp,2018-10-25 00:49:30.099906,159.89.138.253,uConpot,,conpot
7,dc310bc6-d7ef-11e8-87a4-aaf530930853,do-ny-u16-wp,2018-10-25 00:49:42.632571,104.248.14.158,uWordpot,,wordpot
8,c888e2cc-d7f1-11e8-87a4-aaf530930853,do-si-c6-di,2018-10-25 01:03:28.903626,178.128.16.210,cs-Dionaea,,dionaea
9,1b909c76-d7f2-11e8-87a4-aaf530930853,do-in-c6-di,2018-10-25 01:05:47.939781,139.59.0.163,cin-Dionaea,,dionaea
10,41cbf048-d7f2-11e8-87a4-aaf530930853,do-de-u16-co,2018-10-25 01:06:52.289988,46.101.137.25,ude-cowrie,,cowrie
11,c71f25be-d7f5-11e8-87a4-aaf530930853,do-to-u16-sn,2018-10-25 01:32:04.264440,159.203.25.147,uc-snort,,snort
12,585bcb84-d7fd-11e8-87a4-aaf530930853,az-use-u14-di,2018-10-25 02:26:14.408375,104.211.24.159,uDionaea-eu,,dionaea
13,587a1622-d800-11e8-87a4-aaf530930853,az-jpe-u14-di,2018-10-25 02:47:43.097362,52.246.162.236,uDionea-jpe,,dionaea
14,dc581f2e-d801-11e8-87a4-aaf530930853,az-koc-u14-di,2018-10-25 02:58:33.831101,52.231.73.142,uk-dionea,,dionaea
15,8611ecb0-d803-11e8-87a4-aaf530930853,az-use-u14-su,2018-10-25 03:10:28.156665,104.210.14.229,ueu2-suricata,,suricata
16,9060fc1a-d885-11e8-87a4-aaf530930853,az-aue-u14-di,2018-10-25 18:41:19.951642,52.187.227.181,ae-Dionea,,dionaea
17,93157a6c-d885-11e8-87a4-aaf530930853,az-usc-u14-di,2018-10-25 18:41:24.495567,40.122.35.87,cu-dionea,,dionaea
18,96468370-d885-11e8-87a4-aaf530930853,az-frc-u14-di,2018-10-25 18:41:29.841742,40.89.139.172,fr-dionea,,dionaea
19,9894f9e0-d885-11e8-87a4-aaf530930853,az-eun-u14-di,2018-10-25 18:41:33.708640,40.127.100.160,ne-dionaea,,dionaea
20,9a8d1fa2-d885-11e8-87a4-aaf530930853,az-usw-u14-di,2018-10-25 18:41:37.017600,168.61.22.189,wus-dionaea,,dionaea
21,71ae635c-d948-11e8-87a4-aaf530930853,am-uso-u16-eh,2018-10-26 17:56:20.312852,13.58.112.22,ip-172-31-47-190,,elastichoney
23,d15ed2e0-d949-11e8-87a4-aaf530930853,am-uso-u14-di,2018-10-26 18:06:10.351252,3.16.26.63,ip-172-31-33-31,,dionaea
24,a17ab318-d94a-11e8-87a4-aaf530930853,am-brs-u14-di,2018-10-26 18:11:59.498491,18.231.118.227,ip-172-31-6-16,,dionaea
25,fa00f498-d94a-11e8-87a4-aaf530930853,am-ire-u14-di,2018-10-26 18:14:28.022108,54.194.201.112,ip-172-31-31-178,,dionaea
26,b2c3e278-d94c-11e8-87a4-aaf530930853,am-frp-u14-di,2018-10-26 18:26:47.495135,35.180.92.224,ip-172-31-43-16,,dionaea
27,da292ef8-d94d-11e8-87a4-aaf530930853,am-inm-u14-di,2018-10-26 18:35:03.086032,13.233.146.93,ip-172-31-1-56,,dionaea
28,1bce6986-d94e-11e8-87a4-aaf530930853,am-usv-u14-di,2018-10-26 18:36:53.218571,34.227.117.193,ip-172-31-92-201,,dionaea
29,a34f1a5c-d950-11e8-87a4-aaf530930853,az-ukw-u14-di,2018-10-26 18:55:01.272232,51.140.206.55,ukw-dionaea,,dionaea
30,12b8af94-da4a-11e8-87a4-aaf530930853,az-koc-u16-up-conpot,2018-10-28 00:40:31.150149,52.231.70.112,az-koc-u16-up,,conpot
31,2e692a2a-da4a-11e8-87a4-aaf530930853,az-frc-u16-co-cowrie,2018-10-28 00:41:17.599012,40.89.142.176,az-frc-u16-co,,cowrie
32,dcecc22c-da4b-11e8-87a4-aaf530930853,az-usw-u16-cp-conpot,2018-10-28 00:53:19.916291,104.210.56.208,az-usw-u16-cp,,conpot
33,830895a0-da4c-11e8-87a4-aaf530930853,az-skr-u16-co-cowrie,2018-10-28 00:57:58.573291,52.231.157.95,az-skr-u16-co,,cowrie
34,cdcdda00-da4c-11e8-87a4-aaf530930853,az-eun-u16-co-cowrie,2018-10-28 01:00:04.040366,40.127.96.204,az-eun-u16-co,,cowrie
35,37ce6766-da4e-11e8-87a4-aaf530930853,az-koc-u16-up-cowrie,2018-10-28 01:10:11.361140,52.231.70.112,az-koc-u16-up,,cowrie
36,837b924c-da4e-11e8-87a4-aaf530930853,az-usw-u16-cp-cowrie,2018-10-28 01:12:18.327706,104.210.56.208,az-usw-u16-cp,,cowrie
37,93a71f78-da4f-11e8-87a4-aaf530930853,ip-172-31-47-190-cowrie,2018-10-28 01:19:54.949234,13.58.112.22,ip-172-31-47-190,,cowrie
38,b536c526-da4f-11e8-87a4-aaf530930853,uWordpot-cowrie,2018-10-28 01:20:51.252296,104.248.14.158,uWordpot,,cowrie
39,d4cf75ea-da4f-11e8-87a4-aaf530930853,ElasticHoney-cowrie,2018-10-28 01:21:44.272370,68.183.19.89,ElasticHoney,,cowrie
40,f6dec406-da4f-11e8-87a4-aaf530930853,uConpot-cowrie,2018-10-28 01:22:41.409674,159.89.138.253,uConpot,,cowrie
41,6a837244-da50-11e8-87a4-aaf530930853,az-use-u16-co-cowrie,2018-10-28 01:25:55.415835,40.114.125.90,az-use-u16-co,,cowrie
42,b087981c-dac6-11e8-87a4-aaf530930853,li-usda-u16-con,2018-10-28 15:32:33.512223,198.58.96.89,localhost,,conpot
43,1534049e-dac7-11e8-87a4-aaf530930853,li-usda-u16-cow,2018-10-28 15:35:22.408603,198.58.96.89,localhost,,cowrie
44,3ef2ae52-dac7-11e8-87a4-aaf530930853,li-usfr-u16-con,2018-10-28 15:36:32.450452,45.79.96.188,localhost,,conpot
45,4ec86dbc-dac7-11e8-87a4-aaf530930853,li-usne-u16-con,2018-10-28 15:36:59.014535,45.33.94.10,localhost,,conpot
46,a7cf2f9a-dac7-11e8-87a4-aaf530930853,li-usat-u16-con,2018-10-28 15:39:28.372122,198.74.53.211,localhost,,conpot
47,a9bf05dc-dac7-11e8-87a4-aaf530930853,li-usne-u16-cow,2018-10-28 15:39:31.631596,45.33.94.10,localhost,,cowrie
48,ab3a0362-dac7-11e8-87a4-aaf530930853,li-usfr-u16-cow,2018-10-28 15:39:34.108152,45.79.96.188,localhost,,cowrie
49,0d8db126-dac8-11e8-87a4-aaf530930853,li-usat-u16-cow,2018-10-28 15:42:19.074970,198.74.53.211,localhost,,cowrie
50,6822291e-dac8-11e8-87a4-aaf530930853,li-ukln-u16-con,2018-10-28 15:44:51.040034,178.79.149.118,localhost,,conpot
51,80892c1e-dac8-11e8-87a4-aaf530930853,li-defr-u16-con,2018-10-28 15:45:31.979249,139.162.144.60,localhost,,conpot
52,9dc8875c-dac8-11e8-87a4-aaf530930853,li-ukln-u16-cow,2018-10-28 15:46:21.049592,178.79.149.118,localhost,,cowrie
53,9e382d14-dac8-11e8-87a4-aaf530930853,li-sgsg-u16-con,2018-10-28 15:46:21.781379,139.162.60.174,localhost,,conpot
54,b019e0ae-dac8-11e8-87a4-aaf530930853,li-defr-u16-cow,2018-10-28 15:46:51.786070,139.162.144.60,localhost,,cowrie
55,b6f9b1b0-dac8-11e8-87a4-aaf530930853,li-jptk-u16-con,2018-10-28 15:47:03.314713,139.162.89.243,localhost,,conpot
56,e561f9c2-dac8-11e8-87a4-aaf530930853,li-sgsg-u16-cow,2018-10-28 15:48:21.177312,139.162.60.174,localhost,,cowrie
57,f5428780-dac8-11e8-87a4-aaf530930853,li-jptk-u16-cow,2018-10-28 15:48:47.811621,139.162.89.243,localhost,,cowrie
